id,extract_time,item_name,high_price,low_price,avg_price,size_192,size_193,size_197
1,2025-10-27,多晶硅 致密料 (RMB),55.000,50.000,52.000,54.534,53.946,54.975
2,2025-10-27,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
3,2025-10-27,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.330,1.350,1.445,1.488,1.515
4,2025-10-27,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.400,1.497,1.540,1.568
5,2025-10-27,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.610,0.693,0.756,0.808,0.821
6,2025-10-28,多晶硅 致密料 (RMB),55.000,50.000,52.000,54.534,53.946,54.975
7,2025-10-28,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
8,2025-10-28,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.330,1.350,1.445,1.488,1.515
9,2025-10-28,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.400,1.497,1.540,1.568
10,2025-10-28,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.610,0.693,0.756,0.808,0.821
11,2025-10-29,多晶硅 致密料 (RMB),55.000,50.000,52.000,54.534,53.946,54.975
12,2025-10-29,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
13,2025-10-29,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.330,1.350,1.445,1.488,1.515
14,2025-10-29,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.400,1.497,1.540,1.568
15,2025-10-29,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.610,0.693,0.756,0.808,0.821
16,2025-10-30,多晶硅 致密料 (RMB),55.000,49.000,52.000,54.534,53.946,54.975
17,2025-10-30,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
18,2025-10-30,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.350,1.350,1.445,1.488,1.515
19,2025-10-30,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.350,1.445,1.488,1.515
20,2025-10-30,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
21,2025-10-31,多晶硅 致密料 (RMB),55.000,49.000,52.000,54.534,53.946,54.975
22,2025-10-31,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
23,2025-10-31,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.350,1.350,1.445,1.488,1.515
24,2025-10-31,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.350,1.445,1.488,1.515
25,2025-10-31,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
26,2025-11-01,多晶硅 致密料 (RMB),55.000,49.000,52.000,54.534,53.946,54.975
27,2025-11-01,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
28,2025-11-01,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.350,1.350,1.445,1.488,1.515
29,2025-11-01,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.350,1.445,1.488,1.515
30,2025-11-01,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
31,2025-11-02,多晶硅 致密料 (RMB),55.000,49.000,52.000,54.534,53.946,54.975
32,2025-11-02,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
33,2025-11-02,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.350,1.350,1.445,1.488,1.515
34,2025-11-02,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.350,1.445,1.488,1.515
35,2025-11-02,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
36,2025-11-03,多晶硅 致密料 (RMB),55.000,49.000,52.000,54.534,53.946,54.975
37,2025-11-03,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
38,2025-11-03,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.350,1.350,1.445,1.488,1.515
39,2025-11-03,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.350,1.445,1.488,1.515
40,2025-11-03,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
41,2025-11-04,多晶硅 致密料 (RMB),55.000,49.000,52.000,54.534,53.946,54.975
42,2025-11-04,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
43,2025-11-04,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.350,1.350,1.445,1.488,1.515
44,2025-11-04,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.350,1.445,1.488,1.515
45,2025-11-04,182*182-210mm 单晶TOPCon组件 (RMB),0.730,0.620,0.693,0.756,0.808,0.821
46,2025-11-05,多晶硅 致密料 (RMB),55.000,49.000,52.000,54.534,53.946,54.975
47,2025-11-05,多晶硅 颗粒料 (RMB),51.000,50.000,50.000,52.438,51.874,52.864
48,2025-11-05,单晶N型硅片 - 182-183.75mm / 130µm (RMB),1.350,1.350,1.350,1.445,1.488,1.515
49,2025-11-05,单晶N型硅片 - 182*210mm / 130µm (RMB),1.400,1.330,1.350,1.445,1.488,1.515
